dataset,field,dims,rel_eb,downsample_factor,edt_total_s,edt_round1_s,edt_round2_s,fill_sign_s,neutral_boundary_s,downsample_boundary_s,compensation_stage_s,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file,sparsity,edge_density,skipped,skip_reason,harm_rate,benefit_rate
nyx,dark_matter_density,512x512x512,1e-3,4,,,,,,,,78.688234,0.063949,78.688234,0.063949,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb1e-3_f4.log,0.00699309,,1,sparsity,0.000000,0.000000
nyx,dark_matter_density,512x512x512,1e-3,8,,,,,,,,78.688234,0.063949,78.688234,0.063949,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb1e-3_f8.log,0.00699309,,1,sparsity,0.000000,0.000000
nyx,dark_matter_density,512x512x512,5e-3,0,,,,,,,,73.514726,0.013100,73.514726,0.013100,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb5e-3_f0.log,0.000730008,,1,sparsity,0.000000,0.000000
nyx,dark_matter_density,512x512x512,5e-3,2,,,,,,,,73.514726,0.013100,73.514726,0.013100,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb5e-3_f2.log,0.000730008,,1,sparsity,0.000000,0.000000
nyx,dark_matter_density,512x512x512,5e-3,4,,,,,,,,73.514726,0.013100,73.514726,0.013100,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb5e-3_f4.log,0.000730008,,1,sparsity,0.000000,0.000000
nyx,dark_matter_density,512x512x512,5e-3,8,,,,,,,,73.514726,0.013100,73.514726,0.013100,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb5e-3_f8.log,0.000730008,,1,sparsity,0.000000,0.000000
nyx,dark_matter_density,512x512x512,1e-2,0,,,,,,,,71.484658,0.006444,71.484658,0.006444,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb1e-2_f0.log,0.000277407,,1,sparsity,0.000000,0.000000
nyx,dark_matter_density,512x512x512,1e-2,2,,,,,,,,71.484658,0.006444,71.484658,0.006444,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb1e-2_f2.log,0.000277407,,1,sparsity,0.000000,0.000000
nyx,dark_matter_density,512x512x512,1e-2,4,,,,,,,,71.484658,0.006444,71.484658,0.006444,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb1e-2_f4.log,0.000277407,,1,sparsity,0.000000,0.000000
nyx,dark_matter_density,512x512x512,1e-2,8,,,,,,,,71.484658,0.006444,71.484658,0.006444,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_dark_matter_density_eb1e-2_f8.log,0.000277407,,1,sparsity,0.000000,0.000000
nyx,temperature,512x512x512,1e-3,0,4.67014,2.37951,2.29063,0.0614515,0.109936,0,0.051546,63.893276,0.203918,68.239675,0.593902,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb1e-3_f0.log,0.182711,0.118405,0,,0.285312,0.705281
nyx,temperature,512x512x512,1e-3,2,2.57288,2.32228,0.250593,0.0588054,0.115721,0.145953,0.223579,63.893276,0.203918,68.301757,0.593753,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb1e-3_f2.log,0.182711,0.118405,0,,0.283172,0.707421
nyx,temperature,512x512x512,1e-3,4,2.13604,2.11264,0.0233996,0.0728126,0.12069,0.142306,0.223851,63.893276,0.203918,68.401963,0.588713,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb1e-3_f4.log,0.182711,0.118405,0,,0.277504,0.713089
nyx,temperature,512x512x512,1e-3,8,2.36549,2.36241,0.00308345,0.055825,0.114458,0.1405,0.222221,63.893276,0.203918,68.563978,0.558377,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb1e-3_f8.log,0.182711,0.118405,0,,0.262640,0.727953
nyx,temperature,512x512x512,5e-3,0,,,,,,,,54.681982,0.023063,54.681982,0.023063,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb5e-3_f0.log,0.0166679,,1,sparsity,0.000000,0.000000
nyx,temperature,512x512x512,5e-3,2,,,,,,,,54.681982,0.023063,54.681982,0.023063,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb5e-3_f2.log,0.0166679,,1,sparsity,0.000000,0.000000
nyx,temperature,512x512x512,5e-3,4,,,,,,,,54.681982,0.023063,54.681982,0.023063,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb5e-3_f4.log,0.0166679,,1,sparsity,0.000000,0.000000
nyx,temperature,512x512x512,5e-3,8,,,,,,,,54.681982,0.023063,54.681982,0.023063,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb5e-3_f8.log,0.0166679,,1,sparsity,0.000000,0.000000
nyx,temperature,512x512x512,1e-2,0,,,,,,,,54.120235,0.004564,54.120235,0.004564,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb1e-2_f0.log,0.00173351,,1,sparsity,0.000000,0.000000
nyx,temperature,512x512x512,1e-2,2,,,,,,,,54.120235,0.004564,54.120235,0.004564,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb1e-2_f2.log,0.00173351,,1,sparsity,0.000000,0.000000
nyx,temperature,512x512x512,1e-2,4,,,,,,,,54.120235,0.004564,54.120235,0.004564,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb1e-2_f4.log,0.00173351,,1,sparsity,0.000000,0.000000
nyx,temperature,512x512x512,1e-2,8,,,,,,,,54.120235,0.004564,54.120235,0.004564,/home/jp/git/posterization_mitigation/script/pareto_logs/nyx_temperature_eb1e-2_f8.log,0.00173351,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,1e-3,0,,,,,,,,74.551865,0.939593,74.551865,0.939593,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb1e-3_f0.log,0.0889219,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,1e-3,2,,,,,,,,74.551865,0.939593,74.551865,0.939593,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb1e-3_f2.log,0.0889219,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,1e-3,4,,,,,,,,74.551865,0.939593,74.551865,0.939593,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb1e-3_f4.log,0.0889219,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,1e-3,8,,,,,,,,74.551865,0.939593,74.551865,0.939593,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb1e-3_f8.log,0.0889219,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,5e-3,0,,,,,,,,61.245129,0.892339,61.245129,0.892339,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb5e-3_f0.log,0.0667006,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,5e-3,2,,,,,,,,61.245129,0.892339,61.245129,0.892339,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb5e-3_f2.log,0.0667006,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,5e-3,4,,,,,,,,61.245129,0.892339,61.245129,0.892339,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb5e-3_f4.log,0.0667006,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,5e-3,8,,,,,,,,61.245129,0.892339,61.245129,0.892339,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb5e-3_f8.log,0.0667006,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,1e-2,0,,,,,,,,55.673181,0.866362,55.673181,0.866362,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb1e-2_f0.log,0.0549986,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,1e-2,2,,,,,,,,55.673181,0.866362,55.673181,0.866362,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb1e-2_f2.log,0.0549986,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,1e-2,4,,,,,,,,55.673181,0.866362,55.673181,0.866362,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb1e-2_f4.log,0.0549986,,1,sparsity,0.000000,0.000000
hurricane,CLOUDf48.bin,100x500x500,1e-2,8,,,,,,,,55.673181,0.866362,55.673181,0.866362,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_CLOUDf48_bin_eb1e-2_f8.log,0.0549986,,1,sparsity,0.000000,0.000000
hurricane,Pf48.bin,100x500x500,1e-3,0,0.377998,0.184187,0.19381,0.00389094,0.0202147,0,0.00957094,64.802868,0.947586,66.948358,0.989471,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb1e-3_f0.log,0.954272,0.834558,0,,0.118945,0.368787
hurricane,Pf48.bin,100x500x500,1e-3,2,0.201534,0.174625,0.0269089,0.00430302,0.0203132,0.0313657,0.0414681,64.802868,0.947586,66.853361,0.987788,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb1e-3_f2.log,0.954272,0.834558,0,,0.122064,0.365669
hurricane,Pf48.bin,100x500x500,1e-3,4,0.177802,0.173421,0.00438032,0.00407258,0.0201842,0.0316829,0.0441226,64.802868,0.947586,66.843873,0.984707,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb1e-3_f4.log,0.954272,0.834558,0,,0.108646,0.379086
hurricane,Pf48.bin,100x500x500,1e-3,8,0.173416,0.172127,0.00128877,0.00469676,0.0203627,0.0315746,0.0413811,64.802868,0.947586,66.820322,0.982578,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb1e-3_f8.log,0.954272,0.834558,0,,0.105167,0.382565
hurricane,Pf48.bin,100x500x500,5e-3,0,0.403648,0.202601,0.201047,0.00676735,0.0246748,0,0.010545,50.730260,0.603833,58.884906,0.958077,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb5e-3_f0.log,0.844879,0.41284,0,,0.138096,0.790509
hurricane,Pf48.bin,100x500x500,5e-3,2,0.223956,0.196687,0.0272695,0.00680511,0.022011,0.0476222,0.0413167,50.730260,0.603833,58.445352,0.953604,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb5e-3_f2.log,0.844879,0.41284,0,,0.143906,0.784698
hurricane,Pf48.bin,100x500x500,5e-3,4,0.211339,0.207136,0.00420332,0.00771883,0.0233649,0.0466852,0.0413877,50.730260,0.603833,57.615113,0.935162,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb5e-3_f4.log,0.844879,0.41284,0,,0.132335,0.796269
hurricane,Pf48.bin,100x500x500,5e-3,8,0.195867,0.194654,0.00121338,0.00661459,0.0242401,0.0467107,0.0417515,50.730260,0.603833,56.563953,0.882769,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb5e-3_f8.log,0.844879,0.41284,0,,0.121272,0.807332
hurricane,Pf48.bin,100x500x500,1e-2,0,0.394592,0.206257,0.188335,0.00725771,0.0247499,0,0.0095531,44.815110,0.385721,53.879104,0.901888,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb1e-2_f0.log,0.786069,0.237756,0,,0.161433,0.828878
hurricane,Pf48.bin,100x500x500,1e-2,2,0.235212,0.211312,0.0239005,0.00846167,0.0241857,0.0437142,0.0412778,44.815110,0.385721,53.509382,0.897583,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb1e-2_f2.log,0.786069,0.237756,0,,0.165986,0.824326
hurricane,Pf48.bin,100x500x500,1e-2,4,0.20267,0.1992,0.00347041,0.0070611,0.023356,0.0428809,0.041282,44.815110,0.385721,52.756620,0.879678,/home/jp/git/posterization_mitigation/script/pareto_logs/hurricane_Pf48_bin_eb1e-2_f4.log,0.786069,0.237756,0,,0.157972,0.832340
