dataset,field,dims,rel_eb,cgeom,geo_scale,harm_rate,benefit_rate,harm_rms,benefit_rms,initial_psnr,initial_ssim,final_psnr,final_ssim,log_file
hurricane,QICEf48.bin,100x500x500,1e-2,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,57.004798,0.877187,57.004798,0.877187,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QICEf48_bin_eb1e-2_cgeomoff.log
hurricane,QICEf48.bin,100x500x500,1e-2,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,57.004798,0.877187,57.004798,0.877187,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QICEf48_bin_eb1e-2_cgeomon.log
hurricane,QRAINf48.bin,100x500x500,1e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,78.322715,0.090843,78.322715,0.090843,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QRAINf48_bin_eb1e-3_cgeomoff.log
hurricane,QRAINf48.bin,100x500x500,1e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,78.322715,0.090843,78.322715,0.090843,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QRAINf48_bin_eb1e-3_cgeomon.log
hurricane,QRAINf48.bin,100x500x500,5e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,65.246262,0.069258,65.246262,0.069258,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QRAINf48_bin_eb5e-3_cgeomoff.log
hurricane,QRAINf48.bin,100x500x500,5e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,65.246262,0.069258,65.246262,0.069258,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QRAINf48_bin_eb5e-3_cgeomon.log
hurricane,QRAINf48.bin,100x500x500,1e-2,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,59.713286,0.056137,59.713286,0.056137,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QRAINf48_bin_eb1e-2_cgeomoff.log
hurricane,QRAINf48.bin,100x500x500,1e-2,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,59.713286,0.056137,59.713286,0.056137,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QRAINf48_bin_eb1e-2_cgeomon.log
hurricane,QSNOWf48.bin,100x500x500,1e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,74.717408,0.149419,74.717408,0.149419,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QSNOWf48_bin_eb1e-3_cgeomoff.log
hurricane,QSNOWf48.bin,100x500x500,1e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,74.717408,0.149419,74.717408,0.149419,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QSNOWf48_bin_eb1e-3_cgeomon.log
hurricane,QSNOWf48.bin,100x500x500,5e-3,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,61.757795,0.106557,61.757795,0.106557,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QSNOWf48_bin_eb5e-3_cgeomoff.log
hurricane,QSNOWf48.bin,100x500x500,5e-3,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,61.757795,0.106557,61.757795,0.106557,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QSNOWf48_bin_eb5e-3_cgeomon.log
hurricane,QSNOWf48.bin,100x500x500,1e-2,off,,0.000000,0.000000,0.000000E+00,0.000000E+00,56.321683,0.084133,56.321683,0.084133,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QSNOWf48_bin_eb1e-2_cgeomoff.log
hurricane,QSNOWf48.bin,100x500x500,1e-2,on,,0.000000,0.000000,0.000000E+00,0.000000E+00,56.321683,0.084133,56.321683,0.084133,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QSNOWf48_bin_eb1e-2_cgeomon.log
hurricane,QVAPORf48.bin,100x500x500,1e-3,off,,0.081916,0.444072,8.856895E-06,1.113526E-05,65.228531,0.660019,67.366361,0.736636,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QVAPORf48_bin_eb1e-3_cgeomoff.log
hurricane,QVAPORf48.bin,100x500x500,1e-3,on,11.0563,0.077188,0.448800,9.080241E-06,1.080708E-05,65.228531,0.660019,67.222036,0.699477,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QVAPORf48_bin_eb1e-3_cgeomon.log
hurricane,QVAPORf48.bin,100x500x500,5e-3,off,,0.421501,0.289251,4.084356E-05,6.405771E-05,52.512682,0.516288,53.519397,0.626540,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QVAPORf48_bin_eb5e-3_cgeomoff.log
hurricane,QVAPORf48.bin,100x500x500,5e-3,on,21.0119,0.410839,0.299913,3.569642E-05,6.292960E-05,52.512682,0.516288,53.963949,0.605766,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QVAPORf48_bin_eb5e-3_cgeomon.log
hurricane,QVAPORf48.bin,100x500x500,1e-2,off,,0.476503,0.321412,9.021029E-05,1.297738E-04,46.770003,0.433618,47.605458,0.567158,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QVAPORf48_bin_eb1e-2_cgeomoff.log
hurricane,QVAPORf48.bin,100x500x500,1e-2,on,25.1597,0.476499,0.321416,8.054363E-05,1.297730E-04,46.770003,0.433618,48.105100,0.563585,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_QVAPORf48_bin_eb1e-2_cgeomon.log
hurricane,TCf48.bin,100x500x500,1e-3,off,,0.011858,0.024724,7.489048E-02,7.410374E-02,64.788895,0.998102,64.869983,0.998484,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_TCf48_bin_eb1e-3_cgeomoff.log
hurricane,TCf48.bin,100x500x500,1e-3,on,0.001221,0.004909,0.031672,3.065481E-03,4.815435E-03,64.788895,0.998102,64.789694,0.998105,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_TCf48_bin_eb1e-3_cgeomon.log
hurricane,TCf48.bin,100x500x500,5e-3,off,,0.075941,0.218832,2.755043E-01,3.608789E-01,50.806895,0.963408,52.014408,0.983670,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_TCf48_bin_eb5e-3_cgeomoff.log
hurricane,TCf48.bin,100x500x500,5e-3,on,0.0017945,0.030576,0.264199,9.283567E-03,2.774500E-02,50.806895,0.963408,50.816213,0.963533,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_TCf48_bin_eb5e-3_cgeomon.log
hurricane,TCf48.bin,100x500x500,1e-2,off,,0.225878,0.611953,4.994861E-01,7.131705E-01,44.801048,0.899577,49.785805,0.965914,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_TCf48_bin_eb1e-2_cgeomoff.log
hurricane,TCf48.bin,100x500x500,1e-2,on,1.0007,0.206748,0.631084,4.466121E-01,6.967054E-01,44.801048,0.899577,50.176553,0.968838,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_TCf48_bin_eb1e-2_cgeomon.log
hurricane,Uf48.bin,100x500x500,1e-3,off,,0.036069,0.069233,7.010798E-02,6.540576E-02,64.791495,0.995396,64.976962,0.996128,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_Uf48_bin_eb1e-3_cgeomoff.log
hurricane,Uf48.bin,100x500x500,1e-3,on,0.001221,0.015812,0.089490,3.014343E-03,4.280622E-03,64.791495,0.995396,64.793780,0.995403,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_Uf48_bin_eb1e-3_cgeomon.log
hurricane,Uf48.bin,100x500x500,5e-3,off,,0.208917,0.570314,2.315930E-01,2.989887E-01,50.812437,0.909984,54.373474,0.968323,/home/jp/git/posterization_mitigation/script/pareto_cgeom_logs/hurricane_Uf48_bin_eb5e-3_cgeomoff.log
